"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtExposure","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","LowQualFinSF","GrLivArea","BedroomAbvGr","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","PavedDrive","WoodDeckSF","PoolArea","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","SalePrice","NewBuild","BSmtFinSFComb","TotalArea","TotalBaths","PorchSF","Neigh_Cat","AgeCat","LastSold","RemodelFromCat","SeasonSale","GarageScore","OverallScore","ExterScore","KitchenScore","GarageGrade"
576,"50","RL",80,8480,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1.5Fin",5,5,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",2,390,832,"GasA",3,2,4,0,1216,2,6,5,0,1,"Detchd",2,1,3,158,0,1,"None",0,"COD","Abnorml",118500,0,442,2048,1,102,2,2,2,2,2,16,25,9,3,1344
577,"50","RL",52,6292,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1.5Fin",7,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"BrkTil",2,861,861,"GasA",4,2,4,0,1477,3,6,5,1,5,"Detchd",2,1,3,0,0,1,"None",0,"WD","Normal",145000,0,0,2338,2.5,50,2,1,1,2,2,16,49,9,3,864
578,"80","RL",96,11777,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","SLvl",5,6,"Gable","CompShg","VinylSd","VinylSd","BrkFace",97,3,"CBlock",4,285,1164,"GasA",5,2,4,0,1320,3,6,5,2,3,"Attchd",3,2,3,160,0,1,"None",0,"WD","Abnorml",164500,0,879,2484,2,308,2,2,4,1,3,16,30,9,3,2256
579,"160","FV",34,3604,"Pave","Pave","Reg","Lvl",4,"Corner",1,"Norm","Norm","TwnhsE","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",2,689,689,"GasA",5,2,4,0,1392,2,5,5,0,1,"Detchd",2,2,3,0,0,1,"None",0,"WD","Abnorml",146000,1,0,2081,2,102,4,4,2,6,1,16,35,12,4,2160
580,"50","RM",81,12150,"Pave","Grvl","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1.5Fin",5,5,"Gable","CompShg","MetalSd","MetalSd","BrkFace",335,3,"BrkTil",2,1050,1050,"GasA",5,1,3,0,1795,4,7,5,0,1,"Attchd",2,1,3,0,0,1,"None",0,"WD","Normal",131500,0,0,2845,2,0,2,2,2,1,1,12,25,9,3,1056
581,"20","RL",44,14585,"Pave","None","IR1","Lvl",4,"CulDSac",1,"Norm","Norm","1Fam","1Story",6,6,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",85,3,"CBlock",2,331,1144,"GasA",5,2,4,0,1429,3,7,5,2,5,"Attchd",2,2,3,216,0,1,"None",0,"WD","Normal",181900,0,813,2573,1.5,110,2,2,3,2,3,16,36,9,4,2288
582,"20","RL",98,12704,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",8,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",306,5,"PConc",2,2042,2042,"GasA",5,2,4,0,2042,3,8,5,1,5,"Attchd",3,3,3,0,0,1,"None",0,"New","Partial",253293,1,0,4084,2.5,90,5,4,1,5,2,16,40,15,5,5560
583,"90","RL",81,11841,"Grvl","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","Duplex","SFoyer",6,5,"Gable","CompShg","HdBoard","HdBoard","BrkFace",104,3,"CBlock",4,0,816,"GasA",3,2,4,0,816,3,5,5,0,1,"None",1,0,3,0,0,1,"None",0,"WD","Normal",118500,0,816,1632,2,32,2,3,3,1,3,1,30,12,3,0
584,"75","RM",75,13500,"Pave","None","Reg","Lvl",4,"Inside",1,"Artery","PosA","1Fam","2.5Unf",10,9,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,5,"BrkTil",2,1237,1237,"GasA",4,2,4,0,2775,3,9,5,1,5,"Detchd",2,2,3,105,0,1,"None",0,"WD","Normal",325000,0,0,4012,3.5,502,2,1,2,4,3,20,90,25,4,4400
585,"50","RM",51,6120,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1.5Fin",4,7,"Gable","CompShg","AsbShng","AsbShng","None",0,3,"BrkTil",2,884,884,"GasA",5,2,4,0,1573,3,6,5,0,1,"Detchd",2,1,3,0,0,1,"None",0,"WD","Normal",133000,0,0,2457,1,174,2,1,1,3,3,16,28,9,4,960
586,"20","RL",88,11443,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",8,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",208,4,"PConc",5,408,1868,"GasA",5,2,4,0,2028,2,7,5,2,5,"Attchd",3,3,3,326,0,1,"None",0,"New","Partial",369900,1,1460,3896,3,66,4,4,4,5,2,16,40,12,4,3520
587,"30","RL",55,10267,"Pave","None","Reg","Lvl",4,"Inside",1,"RRAn","Norm","1Fam","1Story",6,7,"Gable","CompShg","Stucco","Wd Shng","None",0,3,"BrkTil",3,0,816,"GasA",5,2,4,0,838,2,5,5,0,1,"Detchd",4,1,1,0,0,2,"None",0,"WD","Normal",130000,0,816,1654,2,112,2,1,2,4,3,16,42,12,2,1100
588,"85","RL",74,8740,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","SFoyer",5,6,"Hip","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",4,168,840,"GasA",3,2,4,0,860,2,4,5,0,1,"Detchd",2,2,3,0,0,1,"None",0,"WD","Normal",137000,0,672,1700,2,0,2,3,1,1,3,16,30,9,3,2112
589,"20","RL",65,25095,"Pave","None","IR1","Low",4,"Inside",3,"Norm","Norm","1Fam","1Story",5,8,"Flat","Tar&Grv","Wd Sdng","Wd Sdng","None",0,3,"CBlock",5,113,1437,"GasA",5,2,4,0,1473,1,5,5,2,5,"Attchd",2,1,3,0,0,1,"None",0,"WD","Partial",143000,0,1324,2910,3,108,4,2,1,4,3,16,40,9,5,1808
590,"40","RM",50,9100,"Pave","None","Reg","Lvl",4,"Inside",1,"RRAn","Feedr","1Fam","1Story",5,6,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"BrkTil",2,742,742,"GasA",3,2,3,156,935,2,4,5,0,1,"Detchd",2,1,2,0,0,1,"Shed",600,"WD","Normal",79500,0,0,1677,1,0,2,1,2,2,2,16,30,9,3,1232
591,"60","RL",64,8320,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",2,280,770,"GasA",5,2,4,0,1582,3,6,5,0,1,"Attchd",3,2,3,0,0,1,"None",0,"WD","Normal",185900,0,490,2352,2.5,45,3,4,2,1,2,16,35,12,4,2080
592,"60","RL",97,13478,"Pave","None","IR1","Lvl",4,"Corner",1,"Norm","Norm","1Fam","2Story",10,5,"Gable","CompShg","CemntBd","CmentBd","Stone",420,5,"PConc",5,384,1722,"GasA",5,2,4,0,2296,3,10,5,1,5,"BuiltIn",3,3,3,382,0,1,"None",0,"ConLI","Normal",451950,1,1338,4018,3.5,274,5,4,1,6,3,16,50,15,5,3368
593,"20","RL",60,6600,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,8,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"PConc",2,0,816,"GasA",5,2,4,0,816,2,4,5,0,1,"Detchd",4,2,3,0,0,1,"None",0,"WD","Normal",138000,0,816,1632,2,0,2,3,2,4,3,16,40,12,3,3264
594,"120","RM",37,4435,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",6,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",170,4,"PConc",4,163,848,"GasA",5,2,4,0,848,1,4,5,0,1,"Attchd",4,2,3,140,0,1,"None",0,"WD","Normal",140000,0,685,1696,2,0,3,4,1,1,3,16,30,12,4,1680
595,"20","RL",88,7990,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Hip","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",2,924,924,"GasA",3,2,4,0,924,3,5,5,0,1,"Detchd",2,1,3,0,0,4,"None",0,"WD","Normal",110000,0,0,1848,1,0,3,3,2,1,2,16,30,9,3,1120
596,"20","RL",69,11302,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",8,5,"Gable","CompShg","VinylSd","Other","BrkFace",238,4,"PConc",5,392,1814,"GasA",5,2,4,0,1826,3,7,5,1,4,"Attchd",4,3,3,180,0,1,"None",0,"New","Partial",319000,1,1422,3640,3,195,5,4,4,5,2,16,40,12,4,3032
597,"70","RM",60,3600,"Pave","Grvl","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",6,7,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"CBlock",2,684,684,"GasA",5,1,3,0,1368,3,7,5,0,1,"Detchd",2,1,1,0,0,1,"None",0,"WD","Normal",114504,0,0,2052,1,158,2,1,4,3,2,12,42,9,3,864
598,"120","RL",53,3922,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",72,4,"PConc",4,1258,1258,"GasA",5,2,4,0,1402,2,7,5,1,5,"Attchd",4,3,3,120,0,1,"None",0,"New","Partial",194201,1,0,2660,2,16,3,4,3,5,1,16,35,12,4,2592
599,"20","RL",80,12984,"Pave","None","Reg","Bnk",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","Plywood","Plywood","BrkFace",459,3,"CBlock",3,0,1430,"GasA",5,2,4,0,1647,3,7,5,1,4,"Attchd",4,2,3,0,0,1,"None",0,"WD","Normal",217500,0,1430,3077,3,0,4,3,4,1,2,16,30,9,4,2484
600,"160","RM",24,1950,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","Twnhs","2Story",6,6,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",2,23,716,"GasA",3,2,4,0,1556,3,6,5,1,4,"Attchd",4,2,3,161,0,5,"None",0,"COD","Normal",151000,0,693,2272,3.5,0,2,3,2,1,3,16,36,12,3,1808
601,"60","RL",74,10927,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",280,4,"PConc",4,512,1058,"GasA",5,2,4,0,1904,3,8,5,1,5,"BuiltIn",4,2,3,179,0,1,"None",0,"WD","Normal",275000,1,546,2962,3.5,60,5,4,4,6,3,16,40,12,5,2944
602,"50","RM",50,9000,"Pave","None","Reg","Bnk",4,"Inside",1,"Norm","Norm","1Fam","1.5Fin",6,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"PConc",2,780,780,"GasA",3,2,4,0,1375,3,6,5,1,5,"Detchd",2,1,2,0,0,1,"None",0,"WD","Normal",141000,0,0,2155,1.5,288,1,1,3,2,1,16,36,12,4,2176
603,"60","RL",80,10041,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","HdBoard","HdBoard","None",0,4,"PConc",3,119,908,"GasA",5,2,4,0,1915,3,8,5,1,4,"Attchd",4,2,3,120,0,1,"None",0,"WD","Abnorml",220000,0,789,2823,3.5,150,3,3,4,1,1,16,40,12,4,2024
604,"160","FV",30,3182,"Pave","Pave","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","2Story",7,5,"Gable","CompShg","MetalSd","MetalSd","None",0,4,"PConc",2,600,600,"GasA",5,2,4,0,1200,2,4,5,0,1,"Detchd",3,2,3,0,0,1,"None",0,"WD","Normal",151000,0,0,1800,2.5,172,4,4,0,5,3,16,35,12,4,1920
605,"20","RL",88,12803,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",99,4,"PConc",3,572,1494,"GasA",5,2,4,0,1494,3,6,5,1,4,"Attchd",3,2,3,192,0,1,"None",0,"WD","Normal",221000,0,922,2988,3,36,3,4,2,1,2,16,35,12,4,2120
606,"60","RL",85,13600,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",7,6,"Gable","CompShg","HdBoard","HdBoard","BrkFace",176,3,"CBlock",2,314,768,"GasA",3,2,4,0,1986,3,7,5,2,3,"Attchd",2,2,3,0,0,1,"None",0,"WD","Normal",205000,0,454,2754,2.5,231,2,2,1,3,2,16,42,9,3,1944
607,"20","RL",82,12464,"Pave","None","IR2","Low",4,"Corner",2,"Norm","Norm","1Fam","1Story",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"PConc",2,308,1040,"GasA",4,2,4,0,1040,3,6,5,0,1,"Detchd",2,2,3,168,0,5,"None",0,"WD","Normal",152000,0,732,2080,2,0,3,3,1,1,1,16,25,12,4,2304
608,"20","RL",78,7800,"Pave","None","Reg","Bnk",4,"Inside",2,"Norm","Norm","1Fam","2Story",5,8,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",2,293,896,"GasA",5,2,4,0,2008,3,8,5,0,1,"Attchd",2,1,3,103,0,1,"None",0,"WD","Normal",225000,0,603,2904,4,0,2,2,4,4,2,16,40,12,5,920
609,"70","RL",78,12168,"Pave","None","Reg","HLS",4,"Inside",2,"Norm","Norm","1Fam","2Story",8,6,"Gable","CompShg","BrkFace","Wd Sdng","None",0,3,"PConc",3,537,965,"GasA",3,2,4,0,3194,4,10,5,2,5,"Basment",2,2,3,0,0,1,"None",0,"WD","Alloca",359100,0,428,4159,2.5,0,4,1,3,3,2,16,48,9,3,1520
610,"20","RL",61,7943,"Pave","None","Reg","Lvl",4,"Inside",1,"Feedr","Norm","1Fam","1Story",4,5,"Gable","CompShg","VinylSd","VinylSd","BrkCmn",192,3,"CBlock",3,126,1029,"GasA",4,2,4,0,1029,3,5,5,0,1,"Attchd",2,1,3,64,0,1,"None",0,"WD","Normal",118500,0,903,2058,2,39,2,2,3,1,2,16,20,6,3,1044
611,"60","RL",88,11050,"Pave","None","Reg","Lvl",4,"Inside",1,"PosN","Norm","1Fam","2Story",9,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",204,4,"PConc",3,536,1440,"GasA",5,2,4,0,2153,3,8,5,2,6,"Attchd",4,3,3,253,0,1,"None",0,"WD","Normal",313000,0,904,3593,3.5,142,3,3,1,1,3,16,45,12,5,2944
612,"80","RL",43,10395,"Pave","None","IR1","Lvl",4,"FR2",1,"Norm","Norm","1Fam","SLvl",6,6,"Gable","CompShg","HdBoard","HdBoard","BrkFace",233,3,"CBlock",4,427,1032,"GasA",3,2,4,0,1032,3,6,5,1,4,"Attchd",2,2,3,0,0,4,"Shed",500,"WD","Normal",148000,0,605,2064,2.5,0,3,3,3,1,3,16,36,9,3,2256
613,"60","RL",88,11885,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",108,4,"PConc",4,309,1299,"GasA",5,2,4,0,1872,3,7,5,1,4,"BuiltIn",3,2,3,160,0,1,"None",0,"WD","Normal",261500,0,990,3171,3.5,122,3,4,1,1,1,16,40,12,5,2124
614,"20","RL",70,8402,"Pave","None","Reg","Lvl",4,"Inside",1,"Feedr","Norm","1Fam","1Story",5,5,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"PConc",2,914,1120,"GasA",5,2,4,0,1120,3,6,5,0,1,"None",1,0,3,0,0,1,"None",0,"New","Partial",147000,1,206,2240,1,30,2,4,3,6,1,1,25,9,3,0
615,"180","RM",21,1491,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","SFoyer",4,6,"Gable","CompShg","CemntBd","CmentBd","None",0,3,"CBlock",4,0,630,"GasA",5,2,4,0,630,1,3,5,0,1,"None",1,0,3,96,0,1,"None",0,"WD","Normal",75500,0,630,1260,2,24,1,3,0,1,3,1,24,9,3,0
616,"85","RL",80,8800,"Pave","None","Reg","Lvl",4,"Inside",1,"Feedr","Norm","1Fam","SFoyer",6,7,"Gable","CompShg","MetalSd","MetalSd","BrkFace",156,3,"PConc",5,173,936,"GasA",5,2,4,0,1054,3,6,5,0,1,"Attchd",3,2,3,120,0,4,"None",0,"WD","Abnorml",137500,0,763,1990,2,0,2,2,0,1,3,16,42,12,4,1920
617,"60","RL",50,7861,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",2,326,783,"GasA",5,2,4,0,1509,3,7,5,1,5,"Attchd",4,2,3,100,0,1,"None",0,"WD","Normal",183200,0,457,2292,3.5,75,3,4,4,4,3,16,30,12,4,1572
618,"45","RL",59,7227,"Pave","None","Reg","HLS",4,"Corner",2,"Artery","Norm","1Fam","1.5Unf",6,6,"Gable","CompShg","MetalSd","MetalSd","None",0,3,"CBlock",2,832,832,"GasA",4,2,4,0,832,2,4,5,0,1,"Detchd",2,2,3,0,0,1,"None",0,"WD","Normal",105500,0,0,1664,1,0,2,2,2,1,3,16,36,9,4,2112
619,"20","RL",90,11694,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",9,5,"Hip","CompShg","CemntBd","CmentBd","BrkFace",452,5,"PConc",4,1774,1822,"GasA",5,2,4,0,1828,3,9,5,1,5,"Attchd",2,3,3,0,0,1,"None",0,"New","Partial",314813,1,48,3650,2,368,5,4,3,6,3,16,45,15,4,3096
620,"60","RL",85,12244,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",8,5,"Hip","CompShg","VinylSd","VinylSd","Stone",226,4,"PConc",5,611,1482,"GasA",5,2,4,0,2262,4,10,5,2,5,"Attchd",4,3,3,168,0,1,"None",0,"WD","Normal",305000,0,871,3744,3.5,0,4,4,2,1,2,16,40,12,4,2996
621,"30","RL",45,8248,"Pave","Grvl","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",3,3,"Gable","CompShg","Stucco","Stucco","None",0,3,"BrkTil",2,823,864,"GasA",3,1,3,0,864,2,5,5,0,1,"None",1,0,1,0,0,1,"None",0,"WD","Normal",67000,0,41,1728,2,100,2,1,2,2,2,1,9,9,3,0
622,"60","RL",90,10800,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",6,7,"Gable","CompShg","HdBoard","HdBoard","None",0,3,"CBlock",2,384,1522,"GasA",3,2,4,0,2614,4,9,5,1,4,"Attchd",3,2,3,38,0,1,"None",0,"WD","Normal",240000,0,1138,4136,2.5,243,3,3,2,3,3,16,42,9,3,2496
623,"20","RL",71,7064,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,6,"Gable","CompShg","Plywood","Plywood","BrkFace",153,3,"CBlock",2,420,980,"GasA",3,2,4,0,980,3,6,5,0,1,"Detchd",2,2,3,192,0,1,"None",0,"WD","Normal",135000,0,560,1960,1,0,2,3,1,1,3,16,30,9,3,1936
624,"160","FV",32,2117,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","2Story",6,5,"Gable","CompShg","MetalSd","MetalSd","BrkFace",513,4,"PConc",2,336,756,"GasA",5,2,4,0,1512,2,4,5,1,4,"Detchd",2,2,3,0,0,1,"None",0,"WD","Normal",168500,0,420,2268,2.5,32,4,3,3,1,3,16,30,12,4,1760
625,"60","RL",80,10400,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",6,5,"Gable","CompShg","VinylSd","VinylSd","None",288,3,"CBlock",2,485,732,"GasA",4,2,4,0,1790,4,8,4,1,4,"Attchd",3,2,3,148,0,1,"None",0,"WD","Normal",165150,0,247,2522,3,147,3,3,4,1,1,16,30,9,3,1936
626,"20","RL",87,10000,"Pave","None","IR1","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1Story",6,6,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",261,3,"CBlock",2,1116,1116,"GasA",3,2,4,0,1116,3,5,5,0,1,"Attchd",2,2,3,0,0,1,"None",0,"WD","Normal",160000,0,0,2232,1.5,385,2,2,0,1,1,16,36,9,3,1760
627,"20","RL",75,12342,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",5,5,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,3,"CBlock",2,978,978,"GasA",3,2,4,0,1422,3,6,4,1,4,"Attchd",3,1,3,0,0,3,"Shed",600,"WD","Normal",139900,0,0,2400,1,36,2,2,3,2,2,16,25,9,3,1144
628,"80","RL",80,9600,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","SLvl",6,6,"Gable","CompShg","AsbShng","AsbShng","BrkFace",164,3,"CBlock",4,350,1156,"GasA",5,2,4,0,1520,3,7,5,2,5,"Basment",3,1,3,0,0,1,"None",0,"WD","Normal",153000,0,806,2676,2,189,2,2,0,2,2,16,36,9,3,1456
629,"60","RL",70,11606,"Pave","None","IR1","HLS",4,"Inside",3,"Norm","Norm","1Fam","2Story",5,5,"Gable","CompShg","Plywood","Plywood","BrkFace",192,3,"PConc",4,390,1040,"GasA",3,2,4,0,2080,5,9,5,2,4,"Attchd",2,2,3,335,0,1,"None",0,"WD","Family",135000,0,650,3120,2.5,0,2,2,3,1,2,16,25,9,2,2016
630,"80","RL",82,9020,"Pave","None","Reg","Lvl",4,"Corner",1,"Feedr","Norm","1Fam","SLvl",6,5,"Gable","WdShngl","Plywood","Wd Sdng","BrkFace",259,3,"CBlock",5,288,1248,"GasA",3,2,4,0,1350,3,6,5,0,1,"Attchd",3,2,3,176,0,5,"None",0,"WD","Normal",168500,0,960,2598,2.5,0,2,2,2,1,3,16,30,9,3,2080
631,"70","RM",50,9000,"Pave","Grvl","Reg","Lvl",4,"Corner",1,"Artery","Norm","1Fam","2Story",5,6,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"BrkTil",2,636,636,"GasA",3,2,3,0,1750,3,8,5,0,1,"Detchd",2,1,1,0,0,4,"None",0,"WD","Abnorml",124000,0,0,2386,1,293,2,1,4,3,3,6,30,9,5,720
632,"120","RL",34,4590,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","Twnhs","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","Stone",108,4,"PConc",3,1530,1554,"GasA",5,2,4,0,1554,2,6,5,1,5,"Attchd",3,2,3,156,0,1,"None",0,"WD","Normal",209500,1,24,3108,2,73,5,4,3,6,2,16,40,12,4,2508
633,"20","RL",85,11900,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",7,5,"Hip","CompShg","Plywood","Plywood","BrkFace",209,3,"CBlock",2,564,1386,"GasA",3,2,4,0,1411,3,6,5,1,4,"Attchd",4,2,3,192,0,1,"None",0,"WD","Family",82500,0,822,2797,2,0,3,3,1,1,2,16,35,12,3,2176
634,"20","RL",80,9250,"Pave","None","Reg","Lvl",4,"Corner",1,"Norm","Norm","1Fam","1Story",5,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"CBlock",2,108,1056,"GasA",3,2,4,0,1056,3,6,5,0,1,"Attchd",2,1,3,390,0,1,"None",0,"WD","Normal",139400,0,948,2112,1.5,0,2,2,3,5,3,16,35,9,3,1040
635,"90","RL",64,6979,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","Duplex","SFoyer",6,5,"Gable","CompShg","Plywood","Plywood","None",0,3,"CBlock",2,0,1056,"GasA",4,2,4,0,1056,0,4,5,0,1,"Detchd",2,2,3,264,0,5,"Shed",600,"WD","Normal",144000,0,1056,2112,2,56,2,3,0,1,3,16,30,9,6,2304
636,"190","RH",60,10896,"Pave","Pave","Reg","Bnk",4,"Inside",1,"Feedr","Norm","2fmCon","2.5Fin",6,7,"Hip","CompShg","VinylSd","VinylSd","None",0,2,"CBlock",2,1184,1440,"GasA",5,2,3,515,3395,8,14,5,0,1,"None",1,0,1,0,0,1,"None",0,"WD","Abnorml",2e+05,0,256,4835,2,110,2,1,3,3,2,1,42,6,4,0
637,"30","RM",51,6120,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","1Story",2,3,"Gable","CompShg","AsbShng","AsbShng","None",0,2,"BrkTil",2,264,264,"Grav",2,1,3,0,800,1,4,3,1,2,"None",1,0,1,0,0,1,"None",0,"ConLw","Normal",60000,0,0,1064,1,0,2,1,1,2,1,1,6,4,2,0
638,"190","RM",50,6000,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","2fmCon","1.5Fin",5,4,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,3,"CBlock",2,811,811,"GasA",3,2,3,0,1387,3,7,5,0,1,"BuiltIn",2,1,3,0,0,1,"None",0,"WD","Normal",93000,0,0,2198,2,0,2,2,1,1,1,16,20,9,8,1024
639,"30","RL",67,8777,"Pave","None","Reg","Lvl",4,"Inside",1,"Feedr","Norm","1Fam","1Story",5,7,"Gable","CompShg","MetalSd","Wd Sdng","None",0,3,"CBlock",2,796,796,"GasA",4,2,3,0,796,2,4,5,0,1,"None",1,0,2,328,0,4,"None",0,"WD","Normal",85000,0,0,1592,1,164,2,1,2,2,3,1,35,9,3,0
640,"120","RL",53,3982,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",8,5,"Hip","CompShg","VinylSd","VinylSd","None",0,4,"PConc",4,366,1520,"GasA",5,2,4,0,1567,1,7,5,1,5,"Attchd",4,3,3,312,0,1,"None",0,"New","Partial",264561,1,1154,3087,3,0,3,4,4,6,2,16,40,12,5,2592
641,"120","RL",62,12677,"Pave","None","IR1","Lvl",4,"Inside",1,"Norm","Norm","TwnhsE","1Story",8,5,"Hip","CompShg","MetalSd","MetalSd","BrkFace",472,5,"PConc",5,300,1518,"GasA",5,2,4,0,1518,1,6,5,1,5,"Attchd",3,2,3,185,0,1,"None",0,"WD","Normal",274000,0,1218,3036,1.5,140,5,4,2,4,2,16,40,15,5,2352
642,"60","FV",60,7050,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,4,"PConc",2,319,1057,"GasA",5,2,4,0,1929,3,7,5,1,4,"Attchd",4,2,3,0,0,1,"None",0,"WD","Normal",226000,0,738,2986,3.5,235,4,4,3,1,3,16,35,12,4,2600
643,"80","RL",75,13860,"Pave","None","Reg","Lvl",4,"Inside",1,"Norm","Norm","1Fam","SLvl",8,7,"Gable","CompShg","Plywood","Wd Sdng","None",0,4,"CBlock",5,542,1952,"GasA",4,2,4,0,2704,4,9,5,2,4,"Attchd",4,2,3,269,0,4,"None",0,"WD","Normal",345000,0,1410,4656,3.5,111,2,3,1,3,3,16,56,12,5,2152
644,"60","RL",80,10793,"Pave","None","Reg","Lvl",4,"Inside",1,"RRAn","Norm","1Fam","2Story",5,5,"Mansard","CompShg","WdShing","HdBoard","BrkFace",263,3,"CBlock",2,0,780,"GasA",5,2,4,0,1620,4,7,4,0,1,"Attchd",4,2,3,208,0,3,"None",0,"WD","Normal",152000,0,780,2400,2.5,0,3,2,3,1,2,16,25,9,3,1848
